cID_DI,BP,RI,sense,DVG_type,length_dvg,mean_read_counts,std_read_counts,mean_rpht,std_rpht,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector,SampleID,Segment
++_563_645,563,645,++,Deletion_forward,904,2.5,0.5,6.160539527157706,1.3073485540929155,2,0.0001832676624209,0.0001974138781956,4.85319097306479,3,0.0002738975623116,0.0001965601965601,7.467888081250622,10009,M
++_581_684,581,684,++,Deletion_forward,883,1.5,0.5,3.702593770349738,1.2759982838173431,1,9.480470231323472e-05,9.59048623765225e-05,2.426595486532395,2,0.0001892863903085,9.550186228631458e-05,4.978592054167081,10009,M
++_622_686,622,686,++,Deletion_forward,922,3.0,0.0,7.373837270423904,0.0940508108267179,3,0.0002824060999717,0.0002861230329041,7.279786459597186,3,0.0002813994934809,0.0002851982127578,7.467888081250622,10009,M
++_857_883,857,883,++,Deletion_forward,960,1.5,0.5,3.702593770349738,1.2759982838173431,1,0.0001207583625166,0.0001436162573603,2.426595486532395,2,0.0002360717658168,0.0001391594767603,4.978592054167081,10009,M
++_860_866,860,866,++,Deletion_forward,980,3.0,0.0,7.373837270423904,0.0940508108267179,3,0.0003775484520513,0.0003821656050955,7.279786459597186,3,0.0003689583077112,0.0003723008190618,7.467888081250622,10009,M
++_96_881,96,881,++,Deletion_forward,201,2.0,0.0,4.915891513615936,0.0627005405511456,2,0.0003448870494912,0.0002826056238519,4.85319097306479,2,0.0003175611305176,0.0002738600575106,4.978592054167081,10009,M
++_97_819,97,819,++,Deletion_forward,264,3.0,0.0,7.373837270423904,0.0940508108267179,3,0.0005122076148198,0.0003272965306567,7.279786459597186,3,0.0004718464926077,0.0003214056138847,7.467888081250622,10009,M
-+_194_216,194,216,-+,3cb/sb,1562,3.0,1.0,7.405187540699476,2.5519965676346863,2,0.0002056555269922,0.0001914791766395,4.85319097306479,4,0.0004005206768799,0.0001881113619262,9.957184108334165,10009,M
-+_323_135,323,135,-+,3cb/sb,1514,1.5,0.5,3.702593770349738,1.2759982838173431,1,9.37734433608402e-05,0.0001341561577676,2.426595486532395,2,0.0001866716445771,0.0001273560876209,4.978592054167081,10009,M
-+_432_629,432,629,-+,3cb/sb,911,1.0,0.0,2.457945756807968,0.0313502702755728,1,9.262689885142644e-05,9.407337723424272e-05,2.426595486532395,1,9.224241306152569e-05,9.360666479453336e-05,2.4892960270835407,10009,M
-+_434_632,434,632,-+,3cb/sb,906,1.0,0.0,2.457945756807968,0.0313502702755728,1,9.133254178463786e-05,9.39584703561026e-05,2.426595486532395,1,9.085127646043429e-05,9.351912466099315e-05,2.4892960270835407,10009,M
-+_445_465,445,465,-+,3cb/sb,1062,1.5,0.5,3.702593770349738,1.2759982838173431,1,9.01631953836444e-05,9.665571235260005e-05,2.426595486532395,2,0.0001795654516071,9.626492106276473e-05,4.978592054167081,10009,M
-+_469_104,469,104,-+,3cb/sb,1399,2.5,0.5,6.129189256882134,1.1505972027150522,3,0.0002870264064293,0.0004878842088144,7.279786459597186,2,0.0001904217842521,0.0004513993379476,4.978592054167081,10009,M
-+_543_686,543,686,-+,3cb/sb,743,1.0,0.0,2.457945756807968,0.0313502702755728,1,9.363295880149812e-05,9.537434430138292e-05,2.426595486532395,1,9.341429238673515e-05,9.50660709192889e-05,2.4892960270835407,10009,M
-+_545_684,545,684,-+,3cb/sb,743,6.0,1.0,14.716324270572237,2.26984413515453,7,0.0006556762832521,0.0006713340366356,16.986168405726765,5,0.00046715874054,0.0006685130360042,12.446480135417705,10009,M
-+_555_674,555,674,-+,3cb/sb,743,6.0,2.0,14.684974000296664,4.727789891962499,8,0.0007366482504604,0.0007527994730403,19.41276389225916,4,0.0003671745915182,0.0007501172058134,9.957184108334165,10009,M
-+_56_909,56,909,-+,3cb/sb,1007,1.5,0.5,3.702593770349738,1.2759982838173431,1,0.0002315350775642,0.0001889287738522,2.426595486532395,2,0.0004106776180698,0.0001799208348326,4.978592054167081,10009,M
-+_573_658,573,658,-+,3cb/sb,741,8.5,0.5,20.908214068005517,1.4954501757463543,8,0.0007603839939169,0.0007616146230007,19.41276389225916,9,0.000853161437103,0.0007587973062695,22.40366424375187,10009,M
-+_585_665,585,665,-+,3cb/sb,722,1.0,0.0,2.457945756807968,0.0313502702755728,1,9.62741888899586e-05,9.586808551433228e-05,2.426595486532395,1,9.608917075045644e-05,9.539254030334828e-05,2.4892960270835407,10009,M
-+_669_560,669,560,-+,3cb/sb,743,3.0,0.0,7.373837270423904,0.0940508108267179,3,0.000284981476204,0.0002793036030164,7.279786459597186,3,0.0002835538752362,0.0002784739626844,7.467888081250622,10009,M
-+_676_553,676,553,-+,3cb/sb,743,1.5,0.5,3.702593770349738,1.2759982838173431,1,9.59140610013428e-05,9.375585974123384e-05,2.426595486532395,2,0.0001910037245726,9.353661958656816e-05,4.978592054167081,10009,M
-+_808_515,808,515,-+,3cb/sb,649,1.0,0.0,2.457945756807968,0.0313502702755728,1,0.0001036269430051,9.530162965786716e-05,2.426595486532395,1,0.0001019160211985,9.50389659760502e-05,2.4892960270835407,10009,M
-+_870_253,870,253,-+,3cb/sb,849,1.0,0.0,2.457945756807968,0.0313502702755728,1,0.0001309243257397,9.59600806064677e-05,2.426595486532395,1,0.0001272750413643,9.56846234810066e-05,2.4892960270835407,10009,M
-+_901_394,901,394,-+,3cb/sb,677,1.5,0.5,3.702593770349738,1.2759982838173431,1,0.0001714677640603,9.394081728511038e-05,2.426595486532395,2,0.0003283533081595,9.079353550027238e-05,4.978592054167081,10009,M
-+_96_477,96,477,-+,3cb/sb,1399,1.5,0.5,3.6712435000741657,1.1819474729906247,2,0.0003448870494912,0.0001897173211914,4.85319097306479,1,0.0001587805652588,0.0001890001890001,2.4892960270835407,10009,M
++_111_1459,111,1459,++,Deletion_forward,159,1.5,0.5,6.004742372320608,2.1006274351768592,1,0.0004024144869215,0.0005747126436781,3.9041149371437496,2,0.0007320644216691,0.000534188034188,8.105369807497468,10009,NP
++_1139_734,1139,734,++,Insertion_forward,1912,1.0,0.0,3.9783999204462415,0.0742849833024921,1,0.0002533569799847,0.0002921413964358,3.9041149371437496,1,0.0002523977788995,0.0002851439977188,4.052684903748734,10009,NP
++_1167_1302,1167,1302,++,Deletion_forward,1372,2.5,0.5,9.98314229276685,2.174912418479351,2,0.000500375281461,0.0004561003420752,7.808229874287499,3,0.0007479431563201,0.0004502476361999,12.1580547112462,10009,NP
++_1290_1336,1290,1336,++,Deletion_forward,1461,4.0,1.0,15.839314698482475,3.681259987236274,5,0.0011376564277588,0.0013061650992685,19.52057468571875,3,0.0006781193490054,0.0012870012870012,12.1580547112462,10009,NP
++_129_1273,129,1273,++,Deletion_forward,363,2.0,1.0,7.882514857589991,3.8298299538412577,3,0.0011086474501108,0.0006832156684126,11.71234481143125,1,0.000340020401224,0.0006796556411418,4.052684903748734,10009,NP
++_129_1308,129,1308,++,Deletion_forward,328,2.0,1.0,7.882514857589991,3.8298299538412577,3,0.0011086474501108,0.0006957328385899,11.71234481143125,1,0.000340020401224,0.0006864988558352,4.052684903748734,10009,NP
++_1330_1454,1330,1454,++,Deletion_forward,1383,2.5,0.5,9.98314229276685,2.174912418479351,2,0.0005100739607243,0.0011104941699056,7.808229874287499,3,0.0007532011046949,0.0010325245224574,12.1580547112462,10009,NP
++_184_1345,184,1345,++,Deletion_forward,346,3.0,1.0,11.860914778036232,3.755544970538765,4,0.0011132758140829,0.001050696086157,15.616459748574998,2,0.0005343307507347,0.0010327911179963,8.105369807497468,10009,NP
++_190_1185,190,1185,++,Deletion_forward,512,1.5,0.5,6.004742372320608,2.1006274351768592,1,0.0002744237102085,0.0002498750624687,3.9041149371437496,2,0.000530644733351,0.0002492522432701,8.105369807497468,10009,NP
++_206_1231,206,1231,++,Deletion_forward,482,6.0,0.0,23.87039952267745,0.4457098998149522,6,0.0014962593516209,0.0014800197335964,23.4246896228625,6,0.0014702278853222,0.0014723926380368,24.316109422492403,10009,NP
++_206_210,206,210,++,Deletion_forward,1503,5.5,3.5,21.621202120895607,13.51583231339814,9,0.0022443890274314,0.0022233201581027,35.137034434293746,2,0.000490075961774,0.0021802325581395,8.105369807497468,10009,NP
++_210_1234,210,1234,++,Deletion_forward,483,6.0,1.0,23.944684505979943,4.424109820261192,5,0.0012351778656126,0.0012376237623762,19.52057468571875,7,0.0016957364341085,0.0012345679012345,28.368794326241133,10009,NP
++_215_1443,215,1443,++,Deletion_forward,279,2.0,0.0,7.956799840892483,0.1485699666049842,2,0.0005067139599695,0.0009456264775413,7.808229874287499,2,0.0004987531172069,0.0008912655971479,8.105369807497468,10009,NP
++_237_1306,237,1306,++,Deletion_forward,438,14.0,6.0,56.14330878606233,24.91038928891233,8,0.0021220159151193,0.0018420446695832,31.23291949715,20,0.0052534804307853,0.001818595135258,81.05369807497466,10009,NP
++_312_1360,312,1360,++,Deletion_forward,459,3.5,0.5,13.8872572299106,1.7292025186643984,4,0.0009685230024213,0.0011173184357541,15.616459748574998,3,0.0007225433526011,0.0010937927262783,12.1580547112462,10009,NP
++_314_1205,314,1205,++,Deletion_forward,616,2.5,1.5,9.834572326161863,5.781887422413132,4,0.0009725261366399,0.0010062893081761,15.616459748574998,1,0.0002419549963706,0.0010027575833542,4.052684903748734,10009,NP
++_319_1447,319,1447,++,Deletion_forward,379,2.5,1.5,10.057427276069342,6.153312338925593,1,0.0002424242424242,0.00048828125,3.9041149371437496,4,0.0009650180940892,0.0004587155963302,16.210739614994935,10009,NP
++_329_1315,329,1315,++,Deletion_forward,521,9.0,3.0,36.028454233923654,12.603764611061152,6,0.0014677103718199,0.0014556040756914,23.4246896228625,12,0.0029126213592233,0.0014381591562799,48.632218844984806,10009,NP
++_369_427,369,427,++,Deletion_forward,1449,1.5,0.5,5.930457389018116,1.877772485269383,2,0.0004772130756382,0.0004985044865403,7.808229874287499,1,0.000238379022646,0.0004970178926441,4.052684903748734,10009,NP
++_485_1007,485,1007,++,Deletion_forward,985,2.0,0.0,7.956799840892483,0.1485699666049842,2,0.0005182689816014,0.0004991265285749,7.808229874287499,2,0.000516129032258,0.0004976362279173,8.105369807497468,10009,NP
++_505_1443,505,1443,++,Deletion_forward,569,1.0,0.0,3.9783999204462415,0.0742849833024921,1,0.0002556237218813,0.0004728132387706,3.9041149371437496,1,0.0002549719530851,0.0004456327985739,4.052684903748734,10009,NP
++_876_1053,876,1053,++,Deletion_forward,1330,1.0,0.0,3.9783999204462415,0.0742849833024921,1,0.0002737476047084,0.0002585983966899,3.9041149371437496,1,0.0002732240437158,0.000258197779499,4.052684903748734,10009,NP
+-_1083_1058,1083,1058,+-,5cb/sb,2141,1.5,0.5,6.004742372320608,2.1006274351768592,1,0.0002481389578163,0.0002510040160642,3.9041149371437496,2,0.0004944375772558,0.0002498750624687,8.105369807497468,10009,NP
-+_1018_1114,1018,1114,-+,3cb/sb,882,2.0,0.0,7.956799840892483,0.1485699666049842,2,0.000501253132832,0.0005209690023443,7.808229874287499,2,0.0005,0.000520156046814,8.105369807497468,10009,NP
-+_1079_319,1079,319,-+,3cb/sb,1616,1.0,0.0,3.9783999204462415,0.0742849833024921,1,0.000250375563345,0.0002424242424242,3.9041149371437496,1,0.0002492522432701,0.0002412545235223,4.052684903748734,10009,NP
-+_1157_849,1157,849,-+,3cb/sb,1008,1.5,0.5,6.004742372320608,2.1006274351768592,1,0.0002520161290322,0.0002707092582566,3.9041149371437496,2,0.0005020080321285,0.0002706359945872,8.105369807497468,10009,NP
-+_1266_689,1266,689,-+,3cb/sb,1059,1.0,0.0,3.9783999204462415,0.0742849833024921,1,0.0002339181286549,0.0002700513097488,3.9041149371437496,1,0.0002326663564448,0.0002630194634402,4.052684903748734,10009,NP
-+_1266_690,1266,690,-+,3cb/sb,1058,1.0,0.0,3.9783999204462415,0.0742849833024921,1,0.0002339181286549,0.0002698327037236,3.9041149371437496,1,0.0002326663564448,0.0002630194634402,4.052684903748734,10009,NP
-+_128_442,128,442,-+,3cb/sb,2444,1.0,0.0,3.9783999204462415,0.0742849833024921,1,0.0003749531308586,0.0002475860361475,3.9041149371437496,1,0.0003442340791738,0.0002467917077986,4.052684903748734,10009,NP
-+_404_87,404,87,-+,3cb/sb,2523,1.5,0.5,6.004742372320608,2.1006274351768592,1,0.0002409058058299,0.0004226542688081,3.9041149371437496,2,0.0004784688995215,0.0003795066413662,8.105369807497468,10009,NP
-+_679_676,679,676,-+,3cb/sb,1659,1.5,0.5,6.004742372320608,2.1006274351768592,1,0.000259336099585,0.000259336099585,3.9041149371437496,2,0.0005096839959225,0.000255167134473,8.105369807497468,10009,NP
-+_781_185,781,185,-+,3cb/sb,2048,2.0,1.0,8.031084824194975,4.126969887051226,1,0.0003636363636363,0.0002763957987838,3.9041149371437496,3,0.001060820367751,0.0002657454158915,12.1580547112462,10009,NP
-+_798_168,798,168,-+,3cb/sb,2048,1.0,0.0,3.9783999204462415,0.0742849833024921,1,0.000340020401224,0.0003049710277523,3.9041149371437496,1,0.0003297065611605,0.0002905287623474,4.052684903748734,10009,NP
-+_829_561,829,561,-+,3cb/sb,1624,1.0,0.0,3.9783999204462415,0.0742849833024921,1,0.0004060089321965,0.0002545176889793,3.9041149371437496,1,0.0003943217665615,0.0002539360081259,4.052684903748734,10009,NP
++_107_1013,107,1013,++,Deletion_forward,521,1.5,0.5,13.690814430740197,4.790057866432231,1,0.0009407337723424,0.0005336179295624,8.900756564307967,2,0.0017761989342806,0.0005321979776476,18.48087229717243,10009,NR
++_119_1004,119,1004,++,Deletion_forward,542,1.5,0.5,13.520974638601077,4.28053849001486,2,0.0016501650165016,0.0010626992561105,17.801513128615934,1,0.0007806401249024,0.0010593220338983,9.240436148586214,10009,NR
++_175_1193,175,1193,++,Deletion_forward,409,7.0,1.0,63.66401428726876,10.259474901420958,6,0.0037359900373599,0.0025706940874035,53.4045393858478,8,0.0048192771084337,0.0025499362515937,73.92348918868971,10009,NR
++_233_1149,233,1149,++,Deletion_forward,511,2.5,0.5,22.59157099504817,4.110698697875735,3,0.0015290519877675,0.0012610340479192,26.7022696929239,2,0.001010611419909,0.0012531328320802,18.48087229717243,10009,NR
++_609_645,609,645,++,Deletion_forward,1391,1.5,0.5,13.690814430740197,4.790057866432231,1,0.0006131207847946,0.0005672149744753,8.900756564307967,2,0.001223241590214,0.0005640157924421,18.48087229717243,10009,NR
++_698_744,698,744,++,Deletion_forward,1381,1.0,0.0,9.07059635644709,0.1698397921391237,1,0.00062893081761,0.0006009615384615,8.900756564307967,1,0.0006265664160401,0.0006002400960384,9.240436148586214,10009,NR
++_814_199,814,199,++,Insertion_forward,2042,1.5,0.5,13.690814430740197,4.790057866432231,1,0.0005931198102016,0.0005558643690939,8.900756564307967,2,0.0011757789535567,0.0005461496450027,18.48087229717243,10009,NR
++_99_1226,99,1226,++,Deletion_forward,300,1.5,0.5,13.690814430740197,4.790057866432231,1,0.0009541984732824,0.000468603561387,8.900756564307967,2,0.0017921146953405,0.0004651162790697,18.48087229717243,10009,NR
-+_1062_808,1062,808,-+,3cb/sb,984,2.0,0.0,18.14119271289418,0.3396795842782474,2,0.0009930486593843,0.0011813349084465,17.801513128615934,2,0.0009861932938856,0.0011757789535567,18.48087229717243,10009,NR
-+_799_1071,799,1071,-+,3cb/sb,984,2.0,1.0,17.971352920755056,8.730916772168843,3,0.0018159806295399,0.0014985014985014,26.7022696929239,1,0.0006016847172081,0.0014880952380952,9.240436148586214,10009,NR
++_135_448,135,448,++,Deletion_forward,535,7.0,2.0,16.050902182300714,4.210697583565247,9,0.0008944543828264,0.0006688963210702,20.26159976586596,5,0.0004693954187007,0.000666518551433,11.840204598735466,10009,NS
++_167_653,167,653,++,Deletion_forward,362,1.5,0.5,3.493685351184091,1.2423964883100955,1,8.93734918223255e-05,9.208951100469656e-05,2.251288862873995,2,0.0001722356183258,9.049773755656108e-05,4.736081839494187,10009,NS
++_182_686,182,686,++,Deletion_forward,344,3.5,0.5,8.11301513380518,1.3591485451831935,3,0.0002515301416953,0.0003103341264094,6.753866588621986,4,0.000324622626197,0.0003018412315122,9.472163678988371,10009,NS
++_209_563,209,563,++,Deletion_forward,494,16.0,3.0,37.12976634627836,7.863011128916414,13,0.0009798010250226,0.0010273431326062,29.266755217361943,19,0.0014059493858221,0.0010229776518728,44.99277747519477,10009,NS
++_216_340,216,340,++,Deletion_forward,724,3.0,0.0,6.9289946739316335,0.1751280853096468,3,0.0002226675573368,0.000215563699073,6.753866588621986,3,0.0002190580503833,0.0002145308924485,7.10412275924128,10009,NS
++_226_560,226,560,++,Deletion_forward,514,1.5,0.5,3.493685351184091,1.2423964883100955,1,7.487832272557094e-05,7.873395795606645e-05,2.251288862873995,2,0.0001473079472637,7.832080200501253e-05,4.736081839494187,10009,NS
++_238_484,238,484,++,Deletion_forward,602,8.5,7.5,20.069971789413746,17.818682926539747,1,7.714263673532361e-05,7.405761682589055e-05,2.251288862873995,16,0.0012142369279805,7.371369600471768e-05,37.88865471595349,10009,NS
++_240_717,240,717,++,Deletion_forward,371,1.5,0.5,3.493685351184091,1.2423964883100955,1,7.62660158633313e-05,0.0001209189842805,2.251288862873995,2,0.0001460920379839,0.0001162520344106,4.736081839494187,10009,NS
++_240_737,240,737,++,Deletion_forward,351,3.0,1.0,6.987370702368182,2.4847929766201915,2,0.0001525320317266,0.0002685645226265,4.50257772574799,4,0.0002921840759678,0.0002565089136847,9.472163678988371,10009,NS
++_256_98,256,98,++,Insertion_forward,1006,1.5,0.5,3.493685351184091,1.2423964883100955,1,7.691124442393478e-05,0.0001241156758098,2.251288862873995,2,0.0001522185858893,0.0001143641354071,4.736081839494187,10009,NS
++_342_556,342,556,++,Deletion_forward,634,10.5,3.5,24.45579745828864,8.696775418170667,7,0.0005053057099545,0.000551441625965,15.75902204011797,14,0.0010056748796781,0.0005486323379575,33.1525728764593,10009,NS
++_35_687,35,687,++,Deletion_forward,196,18.5,13.5,41.940724105351656,30.100519506616187,32,0.0067624683009298,0.0033010109345987,72.04124361196784,5,0.0009025270758122,0.0032212603180994,11.840204598735466,10009,NS
++_366_506,366,506,++,Deletion_forward,708,6.5,1.5,15.100385836173364,3.843941521803385,5,0.0003530824094343,0.0003703978072449,11.256444314369976,8,0.0005632612828275,0.000369085406363,18.944327357976743,10009,NS
++_403_440,403,440,++,Deletion_forward,811,1.0,0.0,2.309664891310544,0.0583760284365491,1,7.072635971426551e-05,7.174115790228854e-05,2.251288862873995,1,7.051688879486637e-05,7.151029748283753e-05,2.3680409197470933,10009,NS
++_56_525,56,525,++,Deletion_forward,379,2.0,1.0,4.56095375418454,2.1929128344374464,3,0.0005330490405117,0.000235441845864,6.753866588621986,1,0.0001566661444461,0.000234962406015,2.3680409197470933,10009,NS
++_757_113,757,113,++,Insertion_forward,1492,4.0,3.0,9.063531479932532,6.695490560185438,7,0.0011501807426881,0.0008134805345729,15.75902204011797,1,0.0001543448062972,0.0007581501137225,2.3680409197470933,10009,NS
++_86_573,86,573,++,Deletion_forward,361,1.0,0.0,2.309664891310544,0.0583760284365491,1,0.0001345895020188,7.768800497203231e-05,2.251288862873995,1,0.0001228350325512,7.744133818632385e-05,2.3680409197470933,10009,NS
++_87_563,87,563,++,Deletion_forward,372,3.0,2.0,6.812242617058535,4.444201697311442,5,0.0006753106428957,0.0003951319740793,11.256444314369976,1,0.0001235025318019,0.000393452943028,2.3680409197470933,10009,NS
++_90_736,90,736,++,Deletion_forward,202,1.5,0.5,3.493685351184091,1.2423964883100955,1,0.0001315443304393,0.0001340482573726,2.251288862873995,2,0.0002414292612264,0.0001281394156842,4.736081839494187,10009,NS
-+_153_364,153,364,-+,3cb/sb,1179,1.5,0.5,3.493685351184091,1.2423964883100955,1,9.229349330872172e-05,7.113387395077535e-05,2.251288862873995,2,0.0001766004415011,7.092198581560284e-05,4.736081839494187,10009,NS
-+_178_17,178,17,-+,3cb/sb,1501,1.0,0.0,2.309664891310544,0.0583760284365491,1,8.59106529209622e-05,0.0002590673575129,2.251288862873995,1,8.31186102568365e-05,0.0002142704092564,2.3680409197470933,10009,NS
-+_204_359,204,359,-+,3cb/sb,1133,1.0,0.0,2.309664891310544,0.0583760284365491,1,7.61208799573723e-05,6.94589150517469e-05,2.251288862873995,1,7.468817686160281e-05,6.926167059149467e-05,2.3680409197470933,10009,NS
-+_268_685,268,685,-+,3cb/sb,743,1.5,0.5,3.493685351184091,1.2423964883100955,1,7.497938067031566e-05,0.0001032631144155,2.251288862873995,2,0.0001494433236195,0.0001008572869389,4.736081839494187,10009,NS
-+_394_610,394,610,-+,3cb/sb,692,8.0,2.0,18.594071187357454,5.08633801011348,6,0.0004236091499576,0.0005051355447044,13.507733177243972,10,0.0007031359864997,0.0005030181086519,23.680409197470933,10009,NS
-+_408_149,408,149,-+,3cb/sb,1139,1.0,0.0,2.309664891310544,0.0583760284365491,1,7.124536905101169e-05,9.3694368968425e-05,2.251288862873995,1,7.103786318107552e-05,8.94854586129754e-05,2.3680409197470933,10009,NS
-+_411_531,411,531,-+,3cb/sb,754,3.5,0.5,8.11301513380518,1.3591485451831935,3,0.0002139342508735,0.0002364998029168,6.753866588621986,4,0.0002843938855314,0.0002357193368429,9.472163678988371,10009,NS
-+_431_464,431,464,-+,3cb/sb,801,1.0,0.0,2.309664891310544,0.0583760284365491,1,7.120985544399345e-05,7.331378299120235e-05,2.251288862873995,1,7.104290991759022e-05,7.307804735457468e-05,2.3680409197470933,10009,NS
-+_459_546,459,546,-+,3cb/sb,691,2.0,1.0,4.6777058110576375,2.4264169481836424,1,7.307270734380708e-05,7.780284758422158e-05,2.251288862873995,3,0.0002184996358339,7.665184730952016e-05,7.10412275924128,10009,NS
-+_488_371,488,371,-+,3cb/sb,837,1.5,0.5,3.493685351184091,1.2423964883100955,1,7.396996819291368e-05,7.082654578936186e-05,2.251288862873995,2,0.0001472754050073,7.06713780918728e-05,4.736081839494187,10009,NS
-+_515_547,515,547,-+,3cb/sb,634,1.5,0.5,3.493685351184091,1.2423964883100955,1,7.437709185570845e-05,7.767593599502873e-05,2.251288862873995,2,0.0001481152336517,7.625438462711606e-05,4.736081839494187,10009,NS
-+_522_420,522,420,-+,3cb/sb,754,1.5,0.5,3.493685351184091,1.2423964883100955,1,7.917656373713381e-05,7.217090069284065e-05,2.251288862873995,2,0.0001579778830963,7.202016564638099e-05,4.736081839494187,10009,NS
-+_542_229,542,229,-+,3cb/sb,925,10.0,1.0,23.155024941541992,2.8934251756760325,9,0.0006961095212313,0.0006938555238609,20.26159976586596,11,0.0008452435838327,0.0006842545426898,26.048450117218025,10009,NS
-+_548_253,548,253,-+,3cb/sb,895,1.0,0.0,2.309664891310544,0.0583760284365491,1,7.75614674629644e-05,7.567158531971244e-05,2.251288862873995,1,7.609191903819814e-05,7.461016190405133e-05,2.3680409197470933,10009,NS
-+_602_402,602,402,-+,3cb/sb,692,4.5,2.5,10.247551939806078,5.511470100311891,7,0.0005724566568531,0.0004943851966946,15.75902204011797,2,0.0001628134158254,0.0004927495424468,4.736081839494187,10009,NS
